sid,tid,score
UAV-1044,UAV-1008,0.0
UAV-1044,UAV-1009,0.0
UAV-1044,UAV-1006,0.0
UAV-1044,UAV-860,0.0
UAV-1044,UAV-1007,0.0
UAV-1044,UAV-1406,0.21090402258170296
UAV-1044,UAV-1143,0.0
UAV-1044,UAV-1022,0.057386307097479015
UAV-1044,UAV-1364,0.0
UAV-1044,UAV-1144,0.05066570073205982
UAV-1044,UAV-1142,0.0
UAV-1044,UAV-1021,0.0
UAV-1044,UAV-1367,0.0
UAV-1044,UAV-1027,0.21194957116587806
UAV-1044,UAV-1005,0.0
UAV-1044,UAV-1420,0.0
UAV-1044,UAV-1365,0.11892719786511777
UAV-1044,UAV-1101,0.068947231074216
UAV-1044,UAV-1002,0.0
UAV-1044,UAV-1366,0.20254785810735615
UAV-1044,UAV-1003,0.0
UAV-1044,UAV-906,0.13374523703102076
UAV-1044,UAV-947,0.0
UAV-1044,UAV-1195,0.077601079670199
UAV-1044,UAV-905,0.0
UAV-1044,UAV-948,0.0
UAV-1044,UAV-945,0.3032122745632935
UAV-1044,UAV-861,0.0
UAV-1044,UAV-1017,0.0
UAV-1044,UAV-1018,0.04438197782075265
UAV-1044,UAV-1012,0.0
UAV-1044,UAV-1031,0.0
UAV-1044,UAV-1015,0.07720659061112509
UAV-1044,UAV-1016,0.07919197295339922
UAV-1044,UAV-1013,0.0
UAV-1044,UAV-1014,0.0
UAV-1044,UAV-998,0.0956714225238557
UAV-1044,UAV-931,0.11042007898743797
UAV-1044,UAV-999,0.0
UAV-1044,UAV-911,0.0
UAV-1044,UAV-895,0.0
UAV-1044,UAV-930,0.0
UAV-1166,UAV-1008,0.0
UAV-1166,UAV-1009,0.0
UAV-1166,UAV-1006,0.0
UAV-1166,UAV-860,0.0
UAV-1166,UAV-1007,0.0
UAV-1166,UAV-1406,0.0
UAV-1166,UAV-1143,0.0
UAV-1166,UAV-1022,0.0
UAV-1166,UAV-1364,0.0
UAV-1166,UAV-1144,0.0
UAV-1166,UAV-1142,0.0
UAV-1166,UAV-1021,0.0
UAV-1166,UAV-1367,0.0
UAV-1166,UAV-1027,0.0
UAV-1166,UAV-1005,0.0
UAV-1166,UAV-1420,0.0
UAV-1166,UAV-1365,0.27625270422447834
UAV-1166,UAV-1101,0.0
UAV-1166,UAV-1002,0.0
UAV-1166,UAV-1366,0.0
UAV-1166,UAV-1003,0.0
UAV-1166,UAV-906,0.0
UAV-1166,UAV-947,0.0
UAV-1166,UAV-1195,0.0
UAV-1166,UAV-905,0.0
UAV-1166,UAV-948,0.0
UAV-1166,UAV-945,0.0
UAV-1166,UAV-861,0.0
UAV-1166,UAV-1017,0.0
UAV-1166,UAV-1018,0.0
UAV-1166,UAV-1012,0.0
UAV-1166,UAV-1031,0.0
UAV-1166,UAV-1015,0.0
UAV-1166,UAV-1016,0.0
UAV-1166,UAV-1013,0.0
UAV-1166,UAV-1014,0.0
UAV-1166,UAV-998,0.0
UAV-1166,UAV-931,0.0
UAV-1166,UAV-999,0.0
UAV-1166,UAV-911,0.0
UAV-1166,UAV-895,0.0
UAV-1166,UAV-930,0.0
UAV-1163,UAV-1008,0.0
UAV-1163,UAV-1009,0.0
UAV-1163,UAV-1006,0.06179032603231357
UAV-1163,UAV-860,0.0
UAV-1163,UAV-1007,0.10727046362619966
UAV-1163,UAV-1406,0.2371955053672464
UAV-1163,UAV-1143,0.17107115278273777
UAV-1163,UAV-1022,0.0
UAV-1163,UAV-1364,0.0
UAV-1163,UAV-1144,0.2116335999053557
UAV-1163,UAV-1142,0.0
UAV-1163,UAV-1021,0.08614241768890032
UAV-1163,UAV-1367,0.06972268756018998
UAV-1163,UAV-1027,0.07531767180018462
UAV-1163,UAV-1005,0.12273784581174596
UAV-1163,UAV-1420,0.0
UAV-1163,UAV-1365,0.0
UAV-1163,UAV-1101,0.0
UAV-1163,UAV-1002,0.0
UAV-1163,UAV-1366,0.20699922091003076
UAV-1163,UAV-1003,0.0
UAV-1163,UAV-906,0.0
UAV-1163,UAV-947,0.0
UAV-1163,UAV-1195,0.08820947370537545
UAV-1163,UAV-905,0.0
UAV-1163,UAV-948,0.0
UAV-1163,UAV-945,0.07765178579381149
UAV-1163,UAV-861,0.0
UAV-1163,UAV-1017,0.0
UAV-1163,UAV-1018,0.06003469921640361
UAV-1163,UAV-1012,0.0
UAV-1163,UAV-1031,0.0
UAV-1163,UAV-1015,0.16232237442785694
UAV-1163,UAV-1016,0.2062739499235164
UAV-1163,UAV-1013,0.0
UAV-1163,UAV-1014,0.0
UAV-1163,UAV-998,0.09119502427080299
UAV-1163,UAV-931,0.05690630934156114
UAV-1163,UAV-999,0.0
UAV-1163,UAV-911,0.1000974653935371
UAV-1163,UAV-895,0.0
UAV-1163,UAV-930,0.08517820032698192
UAV-1164,UAV-1008,0.0
UAV-1164,UAV-1009,0.0
UAV-1164,UAV-1006,0.0
UAV-1164,UAV-860,0.0
UAV-1164,UAV-1007,0.0
UAV-1164,UAV-1406,0.06554982792288122
UAV-1164,UAV-1143,0.23193070771586113
UAV-1164,UAV-1022,0.0
UAV-1164,UAV-1364,0.0
UAV-1164,UAV-1144,0.0
UAV-1164,UAV-1142,0.28068711063480933
UAV-1164,UAV-1021,0.10597211896613729
UAV-1164,UAV-1367,0.0
UAV-1164,UAV-1027,0.0
UAV-1164,UAV-1005,0.0
UAV-1164,UAV-1420,0.0
UAV-1164,UAV-1365,0.08239765074506733
UAV-1164,UAV-1101,0.0
UAV-1164,UAV-1002,0.0
UAV-1164,UAV-1366,0.1901003167264783
UAV-1164,UAV-1003,0.0
UAV-1164,UAV-906,0.0
UAV-1164,UAV-947,0.0
UAV-1164,UAV-1195,0.05931618383485283
UAV-1164,UAV-905,0.0
UAV-1164,UAV-948,0.0
UAV-1164,UAV-945,0.12453687693849202
UAV-1164,UAV-861,0.0
UAV-1164,UAV-1017,0.0
UAV-1164,UAV-1018,0.07385448955511209
UAV-1164,UAV-1012,0.0
UAV-1164,UAV-1031,0.0
UAV-1164,UAV-1015,0.0
UAV-1164,UAV-1016,0.1773156588299545
UAV-1164,UAV-1013,0.0
UAV-1164,UAV-1014,0.0
UAV-1164,UAV-998,0.0
UAV-1164,UAV-931,0.0
UAV-1164,UAV-999,0.0
UAV-1164,UAV-911,0.0
UAV-1164,UAV-895,0.0
UAV-1164,UAV-930,0.0
UAV-1043,UAV-1008,0.0
UAV-1043,UAV-1009,0.0
UAV-1043,UAV-1006,0.029720764110203076
UAV-1043,UAV-860,0.0
UAV-1043,UAV-1007,0.0
UAV-1043,UAV-1406,0.25309389888576855
UAV-1043,UAV-1143,0.20510480939965262
UAV-1043,UAV-1022,0.10536374989305727
UAV-1043,UAV-1364,0.0
UAV-1043,UAV-1144,0.11625406338452303
UAV-1043,UAV-1142,0.0336083182916801
UAV-1043,UAV-1021,0.0
UAV-1043,UAV-1367,0.23249896690243485
UAV-1043,UAV-1027,0.0
UAV-1043,UAV-1005,0.0
UAV-1043,UAV-1420,0.0
UAV-1043,UAV-1365,0.02270246300500165
UAV-1043,UAV-1101,0.12659010795698428
UAV-1043,UAV-1002,0.0
UAV-1043,UAV-1366,0.30840247502738216
UAV-1043,UAV-1003,0.0
UAV-1043,UAV-906,0.2762223815010009
UAV-1043,UAV-947,0.0
UAV-1043,UAV-1195,0.09813238743567042
UAV-1043,UAV-905,0.0411431293126139
UAV-1043,UAV-948,0.0
UAV-1043,UAV-945,0.2894304609902375
UAV-1043,UAV-861,0.030369321741292536
UAV-1043,UAV-1017,0.029810584498698563
UAV-1043,UAV-1018,0.12218448514935414
UAV-1043,UAV-1012,0.036178898619409997
UAV-1043,UAV-1031,0.04714857742822821
UAV-1043,UAV-1015,0.030074229217439557
UAV-1043,UAV-1016,0.12595912991190292
UAV-1043,UAV-1013,0.0
UAV-1043,UAV-1014,0.0
UAV-1043,UAV-998,0.0
UAV-1043,UAV-931,0.1396344743903588
UAV-1043,UAV-999,0.0
UAV-1043,UAV-911,0.0
UAV-1043,UAV-895,0.042832951937456745
UAV-1043,UAV-930,0.020485093394117714
UAV-1046,UAV-1008,0.0
UAV-1046,UAV-1009,0.0
UAV-1046,UAV-1006,0.0
UAV-1046,UAV-860,0.0
UAV-1046,UAV-1007,0.0
UAV-1046,UAV-1406,0.18175051111568782
UAV-1046,UAV-1143,0.0
UAV-1046,UAV-1022,0.061753656015003155
UAV-1046,UAV-1364,0.0
UAV-1046,UAV-1144,0.13189205032839507
UAV-1046,UAV-1142,0.0
UAV-1046,UAV-1021,0.1854904757526098
UAV-1046,UAV-1367,0.0
UAV-1046,UAV-1027,0.10211016570977972
UAV-1046,UAV-1005,0.0
UAV-1046,UAV-1420,0.0
UAV-1046,UAV-1365,0.19658988239389502
UAV-1046,UAV-1101,0.07419441686170315
UAV-1046,UAV-1002,0.0
UAV-1046,UAV-1366,0.27423058668245515
UAV-1046,UAV-1003,0.0
UAV-1046,UAV-906,0.14392383443020934
UAV-1046,UAV-947,0.0
UAV-1046,UAV-1195,0.14218342431414288
UAV-1046,UAV-905,0.0
UAV-1046,UAV-948,0.0
UAV-1046,UAV-945,0.38259296745421095
