Summary,ID,Content,,,,,
The user shall mark physical features from the environment on the map,UAV-1440,The user shall mark physical features from the environment on the map,,,,,
The user shall mark the boundaries of a search area on the map,UAV-1439,The user shall mark the boundaries of a search area on the map,,,,,
Relay messages via peer-to-peer network when direct communication is lost from the GCS to a UAV,UAV-1434,Relay messages via peer-to-peer network when direct communication is lost from the GCS to a UAV,,,,,
All RTL commands shall be managed to prevent collisions,UAV-1432,All RTL commands shall be managed to prevent collisions,,,,,
UAV autonomously determines to RTL,UAV-1430,UAV autonomously determines to RTL,,,,,
Only one UAV may track the same victim at any given time,UAV-1428,Only one UAV may track the same victim at any given time,,,,,
Draw search area (polygon) on map,UAV-1352,Draw search area (polygon) on map,,,,,
Logger to log drone's internal state,UAV-1306,Logger to log drone's internal state,,,,,
Display mission status on the dashboard of the DroneResponse UI,UAV-1299,Display mission status on the dashboard of the DroneResponse UI,,,,,
Drone operator assumes manual control over one drone from a cohort of flying drones,UAV-1269,Drone operator assumes manual control over one drone from a cohort of flying drones,,,,,
Coordinate behavior between drones using ad-hoc wifi,UAV-1267,Coordinate behavior between drones using ad-hoc wifi,,,,,
Drone reports current equipment to Dronology,UAV-1259,Drone reports current equipment to Dronology,,,,,
R6 JSON messages forward to control adapters then bridge to drone back end,UAV-1254,R6 JSON messages forward to control adapters then bridge to drone back end,,,,,
Connect Pi to PixHawk,UAV-1219,Connect Pi to PixHawk,,,,,
Display drones in Angular MapBox view,UAV-1190,Display drones in Angular MapBox view,,,,,
Create wireframe mockups based on requirements,UAV-1166,Create wireframe mockups based on requirements,,,,,
DroneResponse UI view and components,UAV-1164,DroneResponse UI view and components,,,,,
Display overall state of mission in a UI,UAV-1163,Display overall state of mission in a UI,,,,,
Prototype Graph-based communication network,UAV-1158,Prototype Graph-based communication network,,,,,
Drone-to-drone graph networking ,UAV-1153,Drone-to-drone graph networking ,,,,,
Stream video in Angular,UAV-1147,Stream video in Angular,,,,,
Angular Maps Library,UAV-1145,Angular Maps Library,,,,,
Monitor Active Drones in DroneResponse UI,UAV-1141,Monitor Active Drones in DroneResponse UI,,,,,
Shared Ad-hoc wifi available on all companion computers,UAV-1140,Shared Ad-hoc wifi available on all companion computers,,,,,
Active Hardware,UAV-1139,Active Hardware,,,,,
Active Geo-fence,UAV-1138,Active Geo-fence,,,,,
Pre-flight safety checks  ,UAV-1137,Pre-flight safety checks  ,,,,,
User issues RTL command using Dronology UI,UAV-1134,User issues RTL command using Dronology UI,,,,,
The GCS shall monitor each UAV under its control for GPS calibration errors and shall report them to Dronology.,UAV-1125,The GCS shall monitor each UAV under its control for GPS calibration errors and shall report them to Dronology.,,,,,
